name,alias,part,age,infection,insurance,department,checklist,symptom,complication,treatment,drug,period,rate,money
阳痿,勃起功能障碍 勃起机能障碍 勃起无力 阳萎 勃起不足,阴茎,成年男性,无传染性,非医保疾病,男科 生殖健康,外生殖器检查 前列腺B超 阴茎超声检查 泌乳素分泌抑制试验 泌乳素兴奋试验  ,心理性性功能障碍 男子性功能障碍 雄激素过少 精冷不育 脉涩或结  ,,药物治疗 心理治疗  ,枸橼酸西地那非... 枸橼酸西地那非... 他达拉非片  ,1-2个月,85%(一般经过有效治疗后可以缓解症状),
乙肝,乙型肝炎,肝,所有人群 主要见于青少年 绝大多数为10~30岁,有传染性,非医保疾病,传染科 肝病,乙肝病毒学指标 凝血酶原时间 乙肝两对半 血清白蛋白与球蛋白比值 血清HBsAg免疫复合物 血清前S1蛋白 血清前S2蛋白 血清抗前S2蛋白 血清免疫球蛋白M 血清乙肝表面抗体  ,转氨酶增高 肝肿大 乙肝表面抗原（HBsAg）阳性 乙肝e抗原（HBeAg）阳性 肝功能异常  ,肝性脑病 肝硬化 腹膜炎 消化道出血 肺炎  ,药物治疗 饮食疗法  ,恩替卡韦分散片 碧云砂乙肝颗粒 注射用盐酸精氨...  ,3-6月,0.00%,市三甲医院约（3000 —— 8000元）;
癫痫,羊癫疯 羊角风,颅脑,所有人群,无传染性,医保疾病,神经内科,贝美格诱发试验 头颅平片 MRI 脑电图 脑血流灌注断层显像  ,四肢抽搐 反复高热 惊厥 昏睡 一过性昏厥  ,肾衰 急性早幼粒细胞白血病 抑郁症  ,药物治疗  ,普瑞巴林胶囊 奥卡西平片 左乙拉西坦片  ,>120天(需要终身治疗),暂无相关资料,市三甲医院约（3000 —— 8000元）
月经不调,月经失调,卵巢 子宫,女性 压力过大型 怕冷型 虚弱型 贫血型,无传染性,非医保疾病,妇科,盆腔和阴道B超 宫颈癌筛查 妇科B超 宫腔镜 宫颈活检  ,月经量多 月经稀少 月经失调 子宫出血 小腹冷痛  ,痛经 经前期综合征 多囊卵巢综合征 黄褐斑 粉刺  ,药物治疗  ,定坤丹 加味益母草膏 艾附暖宫丸  ,1-2个月,69%,市三甲医院约（2000 —— 5000元）
颈椎病,颈椎退行性变 颈椎骨质增生,脊柱,中 老年人  40岁以上,无传染性,医保疾病,骨科 神经内科,颈部活动度 椎间孔挤压试验 颈项强直 臂丛牵拉试验  ,上肢麻痹 肩背痛 颈椎痛 头颈部活动受限 颈部僵硬  ,食管压迫型颈椎病 椎动脉型颈椎病 脊髓型颈椎病 神经根型颈椎病 颈型颈椎病  ,药物治疗 理疗 手术治疗 中医针灸治疗  ,消痛贴膏 颈腰康胶囊 颈复康颗粒  ,3-6个月,50%,
腰肌劳损,,腰部,长期保持坐姿者 中老年人,无传染性,医保疾病,外伤科 骨科,腰背部检查 脊柱压痛与叩击痛 拾物试验 腰背痛体格检查  ,腰酸 弯腰时腰痛 劳累时腰部酸痛或胀痛 腰酸背痛 产育过多后腰痛  ,筋膜炎 椎管狭窄症  ,药物治疗 物理治疗 手术治疗  ,腰痛宁胶囊 腰息痛胶囊 消痛贴膏  ,4周,80%,市三甲医院约（1000 —— 3000元）
尿路感染,尿感 泌尿道感染,阴茎 尿道,育龄女性及绝经后妇女 糖尿病及高龄 免疫缺陷,无传染性,医保疾病,泌尿外科,肾脏B超 放射性核素肾图 逆行肾盂造影 泌尿系统CT 尿路平片  ,复杂性尿路感染 肾脓肿 反复不愈的尿道感染 尿液混浊 真性菌尿  ,肾盂肾炎 肾炎 肾周围炎 尿路梗阻 血尿  ,药物治疗  ,盐酸左氧氟沙星... 盐酸头孢他美酯... 注射用盐酸左氧...  ,2周,90%,市三甲医院约（500-1000元）
股骨头坏死,骨蚀 股骨头无菌性坏死 股骨头缺血性坏死,大腿 下肢骨,中老年人,无传染性,医保疾病,骨科 中西医结合科,四肢的骨和关节平片 骨与关节MRI 4字试验 骨关节及软组织CT  ,髋关节痛 间歇性跛行 大腿刺痛 大腿肌肉萎缩  ,骨关节炎 瘫痪  ,西医治疗 中医治疗 手术治疗  ,通络生骨胶囊 硫酸氨基葡萄糖... 活血健骨片  ,30-100天,20%,据不同医院 收费标准不一致 市三甲医院约（5000 —— 8000元）
精神分裂症,,心理,青壮年 自卑者 工作压力大 抑郁的人大部分都会,无传染性,医保疾病,精神病科,正电子发射计算机断层扫描 颅脑MRI SPECT显像 脑代谢显像 脑蛋白质代谢显像  ,幻觉 思维破裂 思维紊乱 精神运动性兴奋 色情行为  ,心脏病 心力衰竭  ,药物治疗  ,盐酸三氟拉嗪 盐酸氟奋乃静片 卡马西平片  ,30天,10%,市三甲医院约（10000-50000元）
早孕反应,妊娠剧吐 妊娠反应  惡阻,全身,妊娠早期孕妇,无传染性,非医保疾病,产科,尿酮体试验 尿酮体 产科B超 尿HCG 早孕试纸  ,恶心与呕吐 尿频 食欲异常 尿妊娠试验阳性 早孕反应重  ,食管穿孔  ,药物治疗  ,叶酸片 嗣育保胎丸 胎宝胶囊  ,7-14天,95%,
食道癌,食管癌 膈症 噎膈,食管,中老年人群,无传染性,医保疾病,肿瘤科 消化内科,胃部检查 上消化道功能测定和显像 色素内镜检查 血清肿瘤特异性生长因子 多药耐药基因  ,梗噎 进食困难 吞咽困难 吞咽障碍 消瘦  ,黄疸 吸入性肺炎 肥大性骨关节病 食管穿孔  ,手术治疗 放化疗  ,云芝糖肽胶囊 复方天仙胶囊 去甲斑蝥素片  ,1-3个月,3%,
麦粒肿,针眼 眼睑炎 睑腺炎,眼,青年人,无传染性,医保疾病,眼科 中医科,,眼屎多 眼睑脓肿 睑结膜充血露出黄色脓块 眼睛发红 眼痛  ,,药物治疗 手术治疗  ,复方磺胺甲噁唑... 头孢克洛干混悬... 熊胆黄芩滴眼液  ,3-7天,98%,
鼻咽癌,石上疽,鼻,中年人群,无传染性,医保疾病,肿瘤科 耳鼻喉科,颅底片 全身显像 鼻咽部MRI 正电子发射计算机断层扫描 血清EB病毒抗体  ,耳内闭塞感 鼻内似有擤不出的鼻涕 张口呼吸 咽部异物感 鼻咽腔狭窄  ,,放射治疗 手术治疗  ,平消胶囊 鼻咽灵片 转移因子口服溶...  ,1-3个月,10%,
急性胰腺炎,胰腺炎 胰瘅,胰腺,所有人群 发生于妊娠的任何时期 以妊娠晚期及产褥期较多。,无传染性,医保疾病,消化内科 肝胆外科,血清淀粉酶同工酶 血清脂肪酶 血清抗胰腺腺泡抗体 血清胰癌胚抗原 血清胰腺特异性抗原  ,胰源性腹痛 突发性右上腹绞痛 恶心与呕吐 急腹症 上腹部压痛  ,,药物治疗 手术治疗  ,清胰利胆颗粒 醋酸奥曲肽注射... 醋酸奥曲肽注射...  ,,80%,
胆囊炎,,胆,肥胖且多次妊娠的妇女,无传染性,医保疾病,肝胆外科 消化内科,胆道镜 胆囊胆道B超 肝脏及胆囊叩诊 肝 胆 脾CT 血清异枸橼酸脱氢酶  ,右上腹压痛 恶心 发烧 腹肌紧张 右上腹痛  ,老年人胆囊炎 妊娠合并急性胆囊炎 急性胆囊炎 小儿急性胆囊炎 慢性胆囊炎  ,药物治疗 手术治疗  ,盐酸左氧氟沙星... 盐酸米诺环素胶... 盐酸左氧氟沙星...  ,14--30天,90%,
地中海贫血,地贫 海洋性贫血 珠蛋白生成障碍性贫血,血液血管,所有人群 婴幼儿,无传染性,医保疾病,血液科 儿科,Hb-F碱变性试验 骨髓象分析 异常红细胞形态 红细胞检查 红细胞渗透脆性试验  ,气血不足 脾肿大 头晕 皮肤呈浅黄或深金黄色 重度贫血  ,肝硬化 贫血 肝炎 积聚 溶血  ,药物治疗  ,鱼鳞病片 参一胶囊 康逆胶囊  ,1---3个月,30--60%,
子宫内膜癌,子宫体癌 子宫癌,子宫,围绝经期和绝经后女性,无传染性,医保疾病,肿瘤科 妇科,生殖系统肿瘤检查项目 子宫颈涂片测试 子宫内膜活检 子宫输卵管造影 p53基因  ,阴道出血 阴道分泌物增多 下腹疼痛 下腹胀痛 下腹部包块  ,子宫肌瘤 多囊卵巢综合征 功血  ,药物治疗 手术治疗  ,金鸡颗粒 金鸡片 金鸡胶囊  ,1-3个月,40%,
动脉硬化,动脉粥样硬化,血液血管,青少年时期发生 中老年时期加重 发病,无传染性,医保疾病,心血管内科 心胸外科,大生化检查 血流变学检查 动脉听诊 动脉血气分析 PaO2  ,头痛 心音异常 胸痛 头晕 动脉呈多处伸长扭曲状  ,高血压 心绞痛 猝死 神经衰弱  ,药物治疗  ,活血通脉片 复方氨基丁酸维... 长春胺缓释胶囊  ,3个月,70%,市三甲医院约（3000 —— 5000元）
扁平疣,瘊子,皮肤,儿童青少年 亦常见于成人。,有传染性,医保疾病,皮肤科 中医科,,皮肤瘙痒 丘疹  ,,药物治疗 手术治疗  ,转移因子胶囊 十三味菥蓂丸 五妙水仙膏  ,28--42天,98%,市三甲医院约（300 —— 500元）;
神经衰弱,神经衰弱症 神劳,全身,16到40岁 脑力劳动者多见,无传染性,医保疾病,神经内科 心理咨询,心电图 脑电图 肌电图 脑多普勒超声  ,易激惹 易疲乏 保持睡眠障碍性失眠 头痛 神经官能症  ,月经不调 便秘 植物神经紊乱 阳痿 拉肚子  ,药物治疗 情绪疗法  ,天麻素胶囊 泻肝安神丸 益脑胶囊  ,120天,20%(一般在正规综合三甲医院的典型病例治愈,市三甲医院约（1000 —— 3000元）
尿道炎,尿道炎症,尿道,所有人群 多见于女性,无传染性,医保疾病,肾内科 泌尿外科,阴道毛滴虫检查 眼标本的细菌学检查 尿道口检查 尿道分泌物检查 尿常规  ,尿道烧灼感 尿道痒感 白色黏液状尿 尿道刺痒 尿道口有白膜形成  ,盆腔炎 前列腺炎 附睾炎 膀胱炎 尿道狭窄  ,药物治疗  ,复方石韦颗粒 磷霉素氨丁三醇... 解毒通淋丸  ,15-30天,95%,市三甲医院约200--500元
性欲亢进,性欲过盛 性欲过旺,全身,中年 青年较多发,无传染性,非医保疾病,生殖健康 心理咨询,颅脑CT 性激素六项  ,迷走神经兴奋 阴茎异常勃起 性上瘾  ,前列腺炎  ,心理治疗 药物治疗  ,抑亢丸 甲亢灵胶囊 甲亢灵颗粒  ,1-2个月,70-80%,
哮喘,支气管哮喘,肺,所有人群,无传染性,医保疾病,呼吸内科 中医科,动脉血气分析 肺功能 PaO2 皮肤划痕试验 皮内试验  ,鼻煽 喉鸣声 干咳 呼吸困难 喘息  ,肺气肿 气胸 猝死 肺水肿 消化道出血  ,药物治疗  ,盐酸氨溴索片 胆茶碱片 曲尼司特胶囊  ,15天(国内最认可的有效治疗手段的该病治疗,80%(当今的治疗手段可使接近80%的哮喘患者,市三甲医院约（5000-10000元）
尿毒症,,肾,中老年人群,无传染性,医保疾病,肾内科,氨基酸 阴离子隙 尿常规 血液生化六项 放射性核素肾图  ,少尿 肾衰竭 食欲下降 双肾弥漫性病变 双下肢可凹陷性水肿  ,肺水肿 贫血 高血压 糖尿病 高钾血症  ,保守疗法 血液透析 腹膜透析 肾移植  ,复方α-酮酸片 吗替麦考酚酯胶... 他克莫司胶囊  ,6个月,10%(治疗后80%可以好转),市三甲医院约（50000-100000元）
流产,小产,子宫,孕龄女性 怀孕准妈妈,无传染性,医保疾病,产科,阴道细胞学检查 盆腔和阴道B超 阴道镜 阴道分泌物涂片 缩宫素激惹试验  ,先兆流产 妊娠时伴有腹痛的阴道流血 自发性流产 难免流产或不可避免流产 习惯性流产  ,失血性休克 休克 腹膜炎 败血症 盆腔结缔组织炎  ,手术治疗  ,孕康颗粒 注射用绒促性素 维生素E软胶囊  ,7-30天,80%,
低血压,血压过低,血液血管,所有人群 经常从事较大运动量的人群如体育运动员 重体力劳动者 而体型瘦长的年轻妇,无传染性,医保疾病,心血管内科,动态血压监测(ABPM) 血压测量 心电图 动态心电图 心脏血管超声检查  ,头晕 无力 疲乏 心前区隐痛 蹲下起来后眼前发黑  ,眩晕 心绞痛 尿道癌 人流后妇科病 女性尿道癌  ,西医药物治疗 中医治疗治疗  ,注射用左卡尼汀 注射用左卡尼汀 注射用左卡尼汀  ,5-20天,90%,市三甲医院约（1000 —— 2000元
不孕症,不孕不育 不孕 女性不孕,女性生殖,成年人群 孕龄女性,无传染性,医保疾病,生殖健康 妇科,促黄体生成素 自身免疫抗体检测 不孕不育的免疫学检查 不孕不育检查 宫颈粘液相合试验  ,月经失调 阴道不规则出血 阴道分泌物增多 月经量多 月经稀少  ,子宫肌瘤 阴道横隔 急性子宫内膜炎 乳腺增生 早泄  ,对症治疗 中医中药治疗 试管培养  ,地屈孕酮片 天紫红女金胶囊 散结镇痛胶囊  ,2-3月,一般经过特殊治疗后 95%能够治愈,
肾虚,,肾,中老年人群尤其是40岁以上的人群 性生活多的男性,无传染性,非医保疾病,肾内科 中医科,肾功能 尿常规  ,尿频 性欲减退 腰酸背痛 腰酸 月经失调  ,肾虚眩晕 肾虚腰痛 肾虚耳鸣 肾精亏虚  ,药物治疗  ,肾宝片 四子填精胶囊 蓉蛾益肾口服液  ,10-30天,80%,市三甲医院约（1000 —— 3000元）
婴幼儿腹泻,初生儿腹泻,胃 胃,婴幼儿,无传染性,非医保疾病,儿科 消化内科,便常规 胰腺外分泌功能试验 纤维结肠镜 呼气试验 粪便淀粉颗粒  ,粪便量多 发烧 失水 黄绿稀溏 电解质紊乱  ,急性心力衰竭 心肌炎 肾衰 贫血 鹅口疮  ,营养不良 多种维生素缺乏 鹅口疮  ,肠炎宁片 止痢宁片 复方小檗碱鞣酸...  ,,100%,
